Year,Age,Sex,Ethnicity,Median Weekly Earnings
2019,16-24 Years Old,Female,Asian,667
2020,16-24 Years Old,Female,Asian,774
2021,16-24 Years Old,Female,Asian,674
2000,16-24 Years Old,All,Latinx,316
2001,16-24 Years Old,All,Latinx,326
2002,16-24 Years Old,All,Latinx,341
2003,16-24 Years Old,All,Latinx,347
2004,16-24 Years Old,All,Latinx,343
2005,16-24 Years Old,All,Latinx,360
2006,16-24 Years Old,All,Latinx,377
2007,16-24 Years Old,All,Latinx,393
2008,16-24 Years Old,All,Latinx,409
2009,16-24 Years Old,All,Latinx,402
2010,16-24 Years Old,All,Latinx,394
2011,16-24 Years Old,All,Latinx,410
2012,16-24 Years Old,All,Latinx,410
2013,16-24 Years Old,All,Latinx,416
2014,16-24 Years Old,All,Latinx,427
2015,16-24 Years Old,All,Latinx,452
2016,16-24 Years Old,All,Latinx,486
2017,16-24 Years Old,All,Latinx,495
2018,16-24 Years Old,All,Latinx,515
2019,16-24 Years Old,All,Latinx,550
2020,16-24 Years Old,All,Latinx,579
2021,16-24 Years Old,All,Latinx,602
2000,16-24 Years Old,Male,Latinx,321
2001,16-24 Years Old,Male,Latinx,340
2002,16-24 Years Old,Male,Latinx,349
2003,16-24 Years Old,Male,Latinx,353
2004,16-24 Years Old,Male,Latinx,348
2005,16-24 Years Old,Male,Latinx,364
2006,16-24 Years Old,Male,Latinx,384
2007,16-24 Years Old,Male,Latinx,402
2008,16-24 Years Old,Male,Latinx,412
2009,16-24 Years Old,Male,Latinx,406
2010,16-24 Years Old,Male,Latinx,395
2011,16-24 Years Old,Male,Latinx,412
2012,16-24 Years Old,Male,Latinx,422
2013,16-24 Years Old,Male,Latinx,427
2014,16-24 Years Old,Male,Latinx,445
2015,16-24 Years Old,Male,Latinx,478
2016,16-24 Years Old,Male,Latinx,497
2017,16-24 Years Old,Male,Latinx,517
2018,16-24 Years Old,Male,Latinx,532
2019,16-24 Years Old,Male,Latinx,581
2020,16-24 Years Old,Male,Latinx,593
2021,16-24 Years Old,Male,Latinx,614
2000,16-24 Years Old,Female,Latinx,305
2001,16-24 Years Old,Female,Latinx,310
2002,16-24 Years Old,Female,Latinx,324
2003,16-24 Years Old,Female,Latinx,336
2004,16-24 Years Old,Female,Latinx,334
2005,16-24 Years Old,Female,Latinx,352
2006,16-24 Years Old,Female,Latinx,360
2007,16-24 Years Old,Female,Latinx,369
2008,16-24 Years Old,Female,Latinx,401
2009,16-24 Years Old,Female,Latinx,396
2010,16-24 Years Old,Female,Latinx,392
2011,16-24 Years Old,Female,Latinx,404
2012,16-24 Years Old,Female,Latinx,393
2013,16-24 Years Old,Female,Latinx,403
2014,16-24 Years Old,Female,Latinx,413
2015,16-24 Years Old,Female,Latinx,420
2016,16-24 Years Old,Female,Latinx,459
2017,16-24 Years Old,Female,Latinx,462
2018,16-24 Years Old,Female,Latinx,496
2019,16-24 Years Old,Female,Latinx,518
2020,16-24 Years Old,Female,Latinx,551
2021,16-24 Years Old,Female,Latinx,585
