Year,Age,Sex,Ethnicity,Median Weekly Earnings
2000,16-24 Years Old,All,White,366
2001,16-24 Years Old,All,White,380
2002,16-24 Years Old,All,White,386
2003,16-24 Years Old,All,White,390
2004,16-24 Years Old,All,White,393
2005,16-24 Years Old,All,White,403
2006,16-24 Years Old,All,White,411
2007,16-24 Years Old,All,White,429
2008,16-24 Years Old,All,White,451
2009,16-24 Years Old,All,White,447
2010,16-24 Years Old,All,White,439
2011,16-24 Years Old,All,White,447
2012,16-24 Years Old,All,White,456
2013,16-24 Years Old,All,White,470
2014,16-24 Years Old,All,White,486
2015,16-24 Years Old,All,White,497
2016,16-24 Years Old,All,White,509
2017,16-24 Years Old,All,White,526
2018,16-24 Years Old,All,White,566
2019,16-24 Years Old,All,White,590
2020,16-24 Years Old,All,White,611
2021,16-24 Years Old,All,White,634
2000,16-24 Years Old,Male,White,379
2001,16-24 Years Old,Male,White,396
2002,16-24 Years Old,Male,White,397
2003,16-24 Years Old,Male,White,401
2004,16-24 Years Old,Male,White,403
2005,16-24 Years Old,Male,White,415
2006,16-24 Years Old,Male,White,421
2007,16-24 Years Old,Male,White,449
2008,16-24 Years Old,Male,White,468
2009,16-24 Years Old,Male,White,459
2010,16-24 Years Old,Male,White,453
2011,16-24 Years Old,Male,White,462
2012,16-24 Years Old,Male,White,476
2013,16-24 Years Old,Male,White,490
2014,16-24 Years Old,Male,White,504
2015,16-24 Years Old,Male,White,519
2016,16-24 Years Old,Male,White,520
2017,16-24 Years Old,Male,White,560
2018,16-24 Years Old,Male,White,585
2019,16-24 Years Old,Male,White,615
2020,16-24 Years Old,Male,White,630
2021,16-24 Years Old,Male,White,663
2000,16-24 Years Old,Female,White,348
2001,16-24 Years Old,Female,White,354
2002,16-24 Years Old,Female,White,370
2003,16-24 Years Old,Female,White,373
2004,16-24 Years Old,Female,White,379
2005,16-24 Years Old,Female,White,385
2006,16-24 Years Old,Female,White,397
2007,16-24 Years Old,Female,White,412
2008,16-24 Years Old,Female,White,424
2009,16-24 Years Old,Female,White,432
2010,16-24 Years Old,Female,White,424
2011,16-24 Years Old,Female,White,426
2012,16-24 Years Old,Female,White,422
2013,16-24 Years Old,Female,White,435
2014,16-24 Years Old,Female,White,456
2015,16-24 Years Old,Female,White,461
2016,16-24 Years Old,Female,White,492
2017,16-24 Years Old,Female,White,504
2018,16-24 Years Old,Female,White,534
2019,16-24 Years Old,Female,White,551
2020,16-24 Years Old,Female,White,591
2021,16-24 Years Old,Female,White,608
2000,16-24 Years Old,All,Black,329
2001,16-24 Years Old,All,Black,338
2002,16-24 Years Old,All,Black,342
2003,16-24 Years Old,All,Black,367
2004,16-24 Years Old,All,Black,360
2005,16-24 Years Old,All,Black,346
2006,16-24 Years Old,All,Black,383
2007,16-24 Years Old,All,Black,397
2008,16-24 Years Old,All,Black,398
2009,16-24 Years Old,All,Black,409
2010,16-24 Years Old,All,Black,404
2011,16-24 Years Old,All,Black,404
2012,16-24 Years Old,All,Black,387
2013,16-24 Years Old,All,Black,391
2014,16-24 Years Old,All,Black,412
2015,16-24 Years Old,All,Black,416
2016,16-24 Years Old,All,Black,423
2017,16-24 Years Old,All,Black,468
2018,16-24 Years Old,All,Black,483
2019,16-24 Years Old,All,Black,508
2020,16-24 Years Old,All,Black,543
2021,16-24 Years Old,All,Black,558
2000,16-24 Years Old,Male,Black,336
2001,16-24 Years Old,Male,Black,337
2002,16-24 Years Old,Male,Black,336
2003,16-24 Years Old,Male,Black,374
2004,16-24 Years Old,Male,Black,379
2005,16-24 Years Old,Male,Black,344
2006,16-24 Years Old,Male,Black,392
2007,16-24 Years Old,Male,Black,407
2008,16-24 Years Old,Male,Black,409
2009,16-24 Years Old,Male,Black,426
2010,16-24 Years Old,Male,Black,403
2011,16-24 Years Old,Male,Black,413
2012,16-24 Years Old,Male,Black,394
2013,16-24 Years Old,Male,Black,392
2014,16-24 Years Old,Male,Black,409
2015,16-24 Years Old,Male,Black,441
2016,16-24 Years Old,Male,Black,435
2017,16-24 Years Old,Male,Black,478
2018,16-24 Years Old,Male,Black,484
2019,16-24 Years Old,Male,Black,540
2020,16-24 Years Old,Male,Black,538
2021,16-24 Years Old,Male,Black,546
2000,16-24 Years Old,Female,Black,323
2001,16-24 Years Old,Female,Black,339
2002,16-24 Years Old,Female,Black,346
2003,16-24 Years Old,Female,Black,361
2004,16-24 Years Old,Female,Black,344
2005,16-24 Years Old,Female,Black,347
2006,16-24 Years Old,Female,Black,373
2007,16-24 Years Old,Female,Black,384
2008,16-24 Years Old,Female,Black,383
2009,16-24 Years Old,Female,Black,391
2010,16-24 Years Old,Female,Black,404
2011,16-24 Years Old,Female,Black,392
2012,16-24 Years Old,Female,Black,379
2013,16-24 Years Old,Female,Black,391
2014,16-24 Years Old,Female,Black,417
2015,16-24 Years Old,Female,Black,400
2016,16-24 Years Old,Female,Black,417
2017,16-24 Years Old,Female,Black,454
2018,16-24 Years Old,Female,Black,482
2019,16-24 Years Old,Female,Black,488
2020,16-24 Years Old,Female,Black,548
2021,16-24 Years Old,Female,Black,565
2000,16-24 Years Old,All,Asian,392
2001,16-24 Years Old,All,Asian,448
2002,16-24 Years Old,All,Asian,413
2003,16-24 Years Old,All,Asian,414
2004,16-24 Years Old,All,Asian,415
2005,16-24 Years Old,All,Asian,421
2006,16-24 Years Old,All,Asian,467
2007,16-24 Years Old,All,Asian,529
2008,16-24 Years Old,All,Asian,530
2009,16-24 Years Old,All,Asian,502
2010,16-24 Years Old,All,Asian,491
2011,16-24 Years Old,All,Asian,488
2012,16-24 Years Old,All,Asian,501
2013,16-24 Years Old,All,Asian,497
2014,16-24 Years Old,All,Asian,513
2015,16-24 Years Old,All,Asian,555
2016,16-24 Years Old,All,Asian,579
2017,16-24 Years Old,All,Asian,618
2018,16-24 Years Old,All,Asian,624
2019,16-24 Years Old,All,Asian,689
2020,16-24 Years Old,All,Asian,745
2021,16-24 Years Old,All,Asian,732
2000,16-24 Years Old,Male,Asian,386
2001,16-24 Years Old,Male,Asian,458
2002,16-24 Years Old,Male,Asian,420
2003,16-24 Years Old,Male,Asian,411
2004,16-24 Years Old,Male,Asian,416
2005,16-24 Years Old,Male,Asian,415
2006,16-24 Years Old,Male,Asian,444
2007,16-24 Years Old,Male,Asian,537
2008,16-24 Years Old,Male,Asian,541
2009,16-24 Years Old,Male,Asian,505
2010,16-24 Years Old,Male,Asian,461
2011,16-24 Years Old,Male,Asian,488
2012,16-24 Years Old,Male,Asian,516
2013,16-24 Years Old,Male,Asian,516
2014,16-24 Years Old,Male,Asian,589
2015,16-24 Years Old,Male,Asian,561
2016,16-24 Years Old,Male,Asian,598
2017,16-24 Years Old,Male,Asian,665
2018,16-24 Years Old,Male,Asian,678
2019,16-24 Years Old,Male,Asian,710
2020,16-24 Years Old,Male,Asian,702
2021,16-24 Years Old,Male,Asian,792
2000,16-24 Years Old,Female,Asian,401
2001,16-24 Years Old,Female,Asian,438
2002,16-24 Years Old,Female,Asian,403
2003,16-24 Years Old,Female,Asian,421
2004,16-24 Years Old,Female,Asian,414
2005,16-24 Years Old,Female,Asian,438
2006,16-24 Years Old,Female,Asian,486
2007,16-24 Years Old,Female,Asian,526
2008,16-24 Years Old,Female,Asian,523
2009,16-24 Years Old,Female,Asian,499
2010,16-24 Years Old,Female,Asian,519
2011,16-24 Years Old,Female,Asian,487
2012,16-24 Years Old,Female,Asian,482
2013,16-24 Years Old,Female,Asian,484
2014,16-24 Years Old,Female,Asian,460
2015,16-24 Years Old,Female,Asian,552
2016,16-24 Years Old,Female,Asian,555
2017,16-24 Years Old,Female,Asian,607
2018,16-24 Years Old,Female,Asian,610
