Year,All,Women,Men
2011,4.95,3.89,6.01
2012,4.59,3.81,5.39
2013,4.65,3.76,5.55
2014,4.75,3.79,5.73
2015,4.71,3.81,5.63
2016,4.88,3.99,5.79
2017,4.93,3.95,5.91
2018,5.01,4.16,5.88
2019,4.85,3.94,5.76
2021,4.52,3.65,5.39
