year,overall_6_to_17,men_6_to_17,women_6_to_17,overall_under_6,men_under_6,women_under_6
2009,7.1,7.1,7.1,8.8,7.8,10
2010,7.4,7.1,7.8,9.3,8,10.8
2011,6.9,6.1,7.7,8.6,6.8,10.8
2012,6.3,5.2,7.3,7.8,6,9.9
2013,5.4,4.5,6.2,7.1,5.4,8.9
2014,4.3,3.6,5.1,5.9,4.2,7.8
2015,3.8,3,4.5,4.9,3.7,6.3
2016,3.6,3,4.2,4.5,3.5,5.6
2017,3.3,2.6,4,3.9,3,4.9
2018,2.8,2.2,3.4,3.5,2.7,4.5
2019,2.7,2.2,3.2,3,2.2,4
2020,6.2,5.2,7.1,7,6,8.1
2021,4.1,3.6,4.6,4.8,4.1,5.7
